train_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
340,86.21167161226508,0.44283899480068095,86.05610560914099,1.3657545674070695,86.44444444231002,2.489490858401993
681,87.99208704253215,1.3057378894525384,87.54125412396796,2.294790984010886,88.66666666447736,3.2889902231503734
1021,90.21760633036597,0.583217264097966,88.5973597345116,1.0096169348045427,92.64197530635451,1.802450344672175
1362,92.71018793273986,1.3105991327172555,91.1386138598822,1.8310305843876213,95.06172839271451,1.8623388475235259
1702,92.70029673590504,0.3451698602915281,90.2805280513155,0.7757530873497828,96.32098765194269,0.6831771512406527
2042,94.84668644906034,1.031565369158739,93.13531352981624,1.3433059502849538,97.40740740500229,1.397966070044748
2383,94.45103857566765,0.8501699613162682,92.93729372783932,1.6625861814742184,96.716049380328,0.5588228871225914
2553,94.87636003956479,1.6231477781222843,93.79537953640602,1.7536319494549377,96.49382715811126,1.964304051332743
2723,93.11572700296736,1.1163379230496233,91.46864686317709,1.8127629985655198,95.58024691122024,2.366738186458275
2893,95.42037586547971,1.5352080691347656,94.02640263871243,2.2994667765465406,97.5061728370986,0.8017829713683584
3064,94.74777448071217,1.5544886399595697,93.2673267311342,2.079760812596184,96.96296296056882,1.0150520884240486
3234,94.60929772502473,1.1124848545204704,92.22772277075532,1.8982078659803492,98.1728395037488,1.0806681522149493
3404,96.26112759643917,1.3947795629377246,94.62046204464323,1.6741925086409628,98.71604938027862,1.279299372987371
